,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_ridge__max_iter,param_ridge__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
3,0.10536551475524902,0.06488330871981456,0.003554046154022217,0.0011151779641334909,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.2456594821410345,-6.931492155375621,-6.4973623729324785,-36.72725399871143,-13.85044200229014,13.222428449026125,3,-14.887135887801524,-14.370697587070463,-14.652126242056122,-5.245909493812698,-12.2889673026852,4.070419648066423
4,0.052737534046173096,0.0023118575559875087,0.009157240390777588,0.0023628382879354857,21.544346900318832,100000,saga,"{'ridge__alpha': 21.544346900318832, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.927006888102965,-6.808786939013915,-6.517490205799949,-36.92608954214658,-13.794843393765852,13.374022645407814,1,-15.291702511695366,-14.721362825359607,-14.944425922759189,-5.453421775648967,-12.602728258865783,4.132654295328026
5,0.03480654954910278,0.008711220463415888,0.005894005298614502,0.0015722191864212776,46.41588833612777,100000,saga,"{'ridge__alpha': 46.41588833612777, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.775113271573341,-6.763888769552605,-6.626033777524113,-37.22467221270298,-13.84742700783826,13.51968476017168,2,-15.80717854951636,-15.183085578133381,-15.33911844661076,-5.6814237764281215,-13.002701587672155,4.233176050659873
6,0.022583961486816406,0.0032118751503674367,0.006768226623535156,0.0025643378080523363,100.0,100000,saga,"{'ridge__alpha': 100.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.800053390038267,-6.8105966854969,-6.80297189614898,-37.50471024849336,-13.979583055044376,13.60692367538875,4,-16.33962482454089,-15.675894625929228,-15.773853346627284,-5.908891139010871,-13.424565984027069,4.346566696416527
7,0.01994115114212036,0.006702605796492467,0.003682553768157959,0.0006213305818542869,215.44346900318823,100000,saga,"{'ridge__alpha': 215.44346900318823, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-4.934441854088618,-6.918921269134413,-7.013636022098828,-37.70455266840428,-14.142887953431535,13.628641269964712,6,-16.792125116248787,-16.11471382782056,-16.16336710200255,-6.133048001870501,-13.8008135119856,4.435041351814923
8,0.011424899101257324,0.004140142207867704,0.0033259987831115723,0.0004394923453503203,464.15888336127773,100000,saga,"{'ridge__alpha': 464.15888336127773, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.112330220091526,-7.050951403080013,-7.231230439355805,-37.852256957396726,-14.311692254981018,13.61651337162507,9,-17.139808533972293,-16.465634203214865,-16.471164266420445,-6.358159154584442,-14.108691539548012,4.483159560769777
9,0.022228717803955078,0.00397407816371556,0.0058602094650268555,0.0014499369532331274,1000.0,100000,saga,"{'ridge__alpha': 1000.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-5.292845086355089,-7.184220857547193,-7.438303762233437,-37.98671168198862,-14.475520347031086,13.59947708956775,10,-17.40054410746409,-16.74142796763767,-16.704443701357324,-6.570726044881994,-14.354285455335269,4.502365545663532
0,0.15159547328948975,0.009009808326323976,0.005186200141906738,0.0030582190567357277,1.0,100000,saga,"{'ridge__alpha': 1.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.878884580618732,-8.869813103354726,-4.963792171685899,-38.148094768987214,-14.715146156161643,13.59932810105376,8,-14.345117482137491,-13.747048976956444,-14.827123764461755,-4.856093583792637,-11.943845951837082,4.109962611980924
1,0.12446093559265137,0.025503052499616482,0.005974233150482178,0.002639976733200763,2.154434690031884,100000,saga,"{'ridge__alpha': 2.154434690031884, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.787518739414486,-8.606755865872362,-4.881133697673388,-38.03121144907134,-14.576654938007895,13.605418873597474,6,-14.413663939068012,-13.846580018362804,-14.920455260318931,-4.91680460366386,-12.024375955353403,4.121103328490397
2,0.07805091142654419,0.01636596298972259,0.003497302532196045,0.001273045066011702,4.641588833612778,100000,saga,"{'ridge__alpha': 4.641588833612778, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.646734065964507,-8.275664522204856,-4.772946049318423,-37.945367139308736,-14.41017794419913,13.64445569471751,4,-14.54270228020016,-14.021211724678702,-15.07772072020257,-5.026623114866158,-12.167064459986896,4.139424464833067
3,0.056744515895843506,0.012809441671693513,0.00415724515914917,0.0016760388640528557,10.0,100000,saga,"{'ridge__alpha': 10.0, 'ridge__max_iter': 100000, 'ridge__solver': 'saga'}",-6.476092758674485,-7.9519332690916364,-4.650072540073333,-37.982066033800585,-14.26504115041001,13.742888514313604,2,-14.77620919487157,-14.312731168513746,-15.327272685520978,-5.1956574404698115,-12.402967622344026,4.176612039803368
